"card_name","scrape_date","cur_price","brand","shipping"
"XFX Radeon R7 240 R7-240A-2TS2 2GB 128-Bit DDR3 PCI Express 3.0 Video Cards",2017-06-27 08:31:03,"59","XFX","$3.99"
"GIGABYTE GeForce GTX 1050 OC Low Profile 2GB Video Card",2017-06-27 08:31:03,"119","GIGABYTE","$3.99"
"EVGA GeForce 8400 GS DirectX 10 01G-P3-1302-LR 1GB 64-Bit DDR3 PCI Express 2.0 x16 HDCP Ready Low Profile Ready Video Card",2017-06-27 08:31:03,"31","EVGA","$2.99"
"GIGABYTE Ultra Durable 2 GeForce GT 740 DirectX 12 GV-N740D5OC-2GI (rev. 3.0) 2GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card",2017-06-27 08:31:03,"89","GIGABYTE","$3.99"
"EVGA GeForce GT 730 DirectX 12 04G-P3-2739-KR 4GB 128-Bit DDR3 PCI Express 2.0 Video Card",2017-06-27 08:31:03,"77","EVGA","$2.99"
"GIGABYTE Ultra Durable 2 Series GeForce GT 730 DirectX 12 GV-N730-2GI (rev. 1.0) 2GB 128-Bit DDR3 PCI Express 2.0 HDCP Ready ATX Video Card",2017-06-27 08:31:03,"59","GIGABYTE","Free"
"GIGABYTE GeForce GTX 1050 Ti DirectX 12 GV-N105TG1 GAMING-4GD 4GB 128-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card",2017-06-27 08:31:03,"169","GIGABYTE","$4.99"
"PNY GeForce GTX 1080 Ti DirectX 12 VCGGTX1080T11PB-CG2 11GB 352-Bit GDDR5X PCI Express 3.0 x16 Video Card",2017-06-27 08:31:03,"699","PNY Technologies, Inc.","$4.99"
"GIGABYTE Radeon R7 360 DirectX 12 GV-R736OC-2GD (rev. 3.0) 2GB 128-Bit GDDR5 PCI Express 3.0 ATX Video Card",2017-06-27 08:31:03,"93","GIGABYTE","$3.99"
"EVGA GeForce GTX 1050 SSC GAMING ACX 3.0, 02G-P4-6154-KR, 2GB GDDR5, DX12 OSD Support (PXOC)",2017-06-27 08:31:03,"129","EVGA","$3.99"
"SAPPHIRE Radeon RX 550 DirectX 12 100414P2GL 2GB 128-Bit GDDR5 Video Card",2017-06-27 08:31:03,"82","Sapphire Tech","$3.99"
"EVGA GeForce GTX 1050 Ti FTW GAMING ACX 3.0, 04G-P4-6258-KR, 4GB GDDR5, DX12 OSD Support (PXOC)",2017-06-27 08:31:03,"169","EVGA","$3.99"
"PowerColor RED DRAGON Radeon RX 560 DirectX 12 AXRX 560 2GBD5-DHV2/OC 2GB 128-Bit GDDR5 CrossFireX Support ATX Video Card",2017-06-27 08:31:03,"119","PowerColor","$3.99"
"EVGA GeForce GTX 1050 Ti GAMING, 04G-P4-6251-KR, 4GB GDDR5, DX12 OSD Support (PXOC)",2017-06-27 08:31:03,"139","EVGA","$4.99"
"PowerColor RED DRAGON Radeon RX 550 DirectX 12 AXRX 550 2GBD5-DH/OC 2GB 128-Bit GDDR5 PCI Express 3.0 CrossFireX Support ATX Video Card",2017-06-27 08:31:03,"89","PowerColor","$3.99"
"GIGABYTE GeForce GT 1030 Low Profile 2G",2017-06-27 08:31:03,"69","GIGABYTE","$3.99"
"EVGA GeForce GTX 1050 Ti SC GAMING, 04G-P4-6253-KR, 4GB GDDR5, DX12 OSD Support (PXOC)",2017-06-27 08:31:03,"140","EVGA","$4.99"
"PowerColor Radeon R5 230 DirectX 11 AXR5 230 2GBK3-LHE 2GB 64-Bit DDR3 PCI Express 2.1 HDCP Ready CrossFireX Support Low Profile Video Cards",2017-06-27 08:31:03,"34","PowerColor","$3.99"
